DTYYYYMMDD,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,OPENINT,OPENINT
20081206,9248.8,9248.8,9167.8,9178.3,8539624,18557689733,1095,0
20081207,9178.3,9178.3,9130.3,9130.5,11752353,20519114974,1666,9178.3
20081208,9102.7,9103.4,9079.6,9089.2,15299115,60071242548,1873,9130.5
20081210,9071.6,9071.6,9023.7,9023.7,15689653,32587689271,1737,9089.2
20081213,8973.3,8973,8973,8973.3,31428174,65622897471,3108,9023.7
20081214,8963.9,8964.5,8907,8907,33424537,63777428978,2969,8973.3
20081215,8901.8,8903.6,8890.7,8890.7,15030721,29914269170,2007,8907
20081216,8890.8,8890.8,8866.3,8869,15206608,31287510838,2053,8890.7
20081220,8861.5,8861.9,8854.2,8857.1,9680384,24501932703,1645,8869
20081221,8857.3,8860.8,8851.6,8851.6,23942447,52191445889,1822,8857.1
20081222,8840.1,8840.6,8832.2,8832.2,18510368,34656526959,2600,8851.6
20081223,8829,8829.5,8803.4,8803.4,16750639,23422852530,2689,8832.2
20081224,8796.4,8802.3,8792.5,8795.7,15493315,33510695907,2737,8803.4
20081227,8784.9,8795.6,8784.9,8786.7,36809581,68956694504,3449,8795.7
20081228,8769.7,8769.7,8757.8,8757.8,22322193,52014635966,3375,8786.7
20081229,8750.1,8751.9,8726.2,8726.9,37152907,83043189112,4593,8757.8
20081230,8717.2,8717.2,8689.8,8695,29866547,57777589514,2908,8726.9
20081231,8694.2,8694.2,8654.2,8656.3,15827037,40634873923,2687,8695
20090103,8655.7,8656.5,8636.8,8641.8,15850479,46875998160,3083,8656.3
20090104,8627.2,8629.4,8618.7,8619.6,9364342,21524891466,2126,8641.8
20090105,8612.3,8615.5,8596.4,8596.4,34895535,81424423487,3492,8619.6
20090110,8592.7,8592.9,8575.7,8575.7,17954374,49703739074,5209,8596.4
20090111,8573.6,8573.6,8541.7,8542,17591612,40250899907,3883,8575.7
20090112,8535.8,8535.8,8518.4,8519,38577406,97278419610,8364,8542
20090113,8518.7,8521,8461.3,8463.7,21786228,58669143995,3991,8519
20090114,8470.9,8471.1,8452.9,8456.9,27901910,67710777068,5387,8463.7
20090117,8454.6,8458.2,8449.6,8458.1,41437444,97760139624,3668,8456.9
20090118,8449,8461.8,8449,8459.9,41438920,95334641443,3081,8458.1
20090119,8450.6,8471,8450.6,8467.4,50872473,1.12E+11,7192,8459.9
20090120,8468.6,8521,8468.6,8496.9,18145974,49312961779,8364,8467.4
20090121,8494.9,8520.3,8494.9,8514.3,18216417,47075179694,5535,8496.9
20090124,8514.5,8564.1,8514.5,8553.7,104929276,3.24E+11,13555,8514.3
20090125,8547.1,8549.6,8518.1,8519.1,30934413,95799986059,8224,8553.7
20090126,8517,8517.4,8505.7,8507.3,24238918,53286462294,5089,8519.1
20090127,8505.5,8510.3,8504.7,8509.1,30858309,51983391469,4851,8507.3
20090128,8516,8516.2,8496.1,8505.6,24122310,53072557118,3950,8509.1
20090131,8506.8,8509,8502.1,8508.3,19555340,40417713480,3556,8505.6
20090201,8511.4,8518,8486.7,8491.8,45910132,93896307796,4502,8508.3
20090202,8502.3,8502.5,8493.2,8496.2,23994605,59204899704,4445,8491.8
20090203,8496.5,8496.9,8481.1,8483.4,19609854,46468046261,5492,8496.2
20090204,8483.8,8484.9,8462.3,8466.4,30228102,51678642907,4511,8483.4
20090207,8466.4,8467.7,8444.2,8451.3,24161523,46354852689,5509,8466.4
20090208,8452.8,8452.8,8437.7,8438,25955001,48510613685,5243,8451.3
20090209,8439.5,8439.5,8423.5,8423.7,20913900,40750318655,5713,8438
20090211,8423.5,8433.5,8423.5,8430,12368889,24239580724,2859,8423.7
20090214,8430.5,8433,8420,8420,14432290,31379648567,5082,8430
20090215,8420,8423.1,8412.7,8412.7,16758928,36975164733,5661,8420
20090217,8413.1,8413.1,8390.2,8390.2,25790685,48699442121,5883,8412.7
20090218,8389.5,8389.5,8376.6,8376.6,12942983,28370975709,3196,8390.2
20090221,8376,8376,8355.9,8355.9,351708793,3.80E+11,10718,8376.6
20090222,8350.7,8353.6,8291.1,8297,45390914,86505727616,6807,8355.9
20090223,8297.3,8297.3,8266.2,8266.2,34248906,64752009069,5083,8297
